Date,sentence,fear,anger,anticip,trust,surprise,sadness,disgust,anticipation,joy,positive,negative,Service Sales
11/5/2019,thanks lot vincent helping me tune my pioneer audio head unit system i learned something new you today also thanks make my car aircon fresh cold again v2d power,0,0,0,0.333333333,0,0,0,,0,0.333333333,0.333333333,97540.54
11/5/2019,thank u broooo,0,0,0,0,0,0,0,,0,0,0,
13/06/19,boss is very friendly knowledgeable great place go servicing,0,0,0,0.25,0,0,0,0.25,0.25,0.25,0,73344.59
13/06/19,thank you bro your compliment,0,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0,73344.59
15/06/19,was expecting 2 weeks turn around repairs my car but they delivered it back me within week its just awesome tip top service both edmund vincent always there you when you needed help great follow up service too by them both known v2d since 2006 still loving their 5stars service thank you team v2d may you prosper great heights your business,0,0,0,0.272727273,0,0,0,0.272727273,0.181818182,0.272727273,0,73344.59
15/06/19,thank you bro your 13 years continuing support,0,0,0,0,0,0,0,,0,0,0,
25/06/19,,0,0,0,0,0,0,0,,0,0,0,
25/06/19,thank u reviewing our services,0,0,0,0,0,0,0,,0,0,0,
2/7/2019,first time got into accident not sure what do immediately called up vincent he informed me procedures recovery accident claiming was smooth hassle free send my car repairs got back good as new 4 days they also provide me with updates repair works once again vincent his team has gone distance provide excellent services their customers projex v2d is one stop workshop all your car needs keep it up guys,0.076923077,0,0,0.192307692,0.115384615,0.076923077,0,0.115384615,0.076923077,0.230769231,0.115384615,119768.12
2/7/2019,thank u your valuable review our services bro good day bro,0,0,0,0.166666667,0.166666667,0,0,0.166666667,0.166666667,0.333333333,0,119768.12
4/7/2019,,0,0,0,0,0,0,0,,0,0,0,
4/7/2019,thank u bro terence,0,0,0,0,0,0,0,,0,0,0,
27/07/19,,0,0,0,0,0,0,0,,0,0,0,
27/07/19,thank u bro,0,0,0,0,0,0,0,,0,0,0,
21/08/19,,0,0,0,0,0,0,0,,0,0,0,
22/08/19,thank u bro hows your vezel hybrid so far bro,0,0,0,0,0,0,0,,0,0,0,
22/08/19,,0,0,0,0,0,0,0,,0,0,0,
22/08/19,thank u bro see u 500km,0,0,0,0,0,0,0,,0,0,0,
